,0_Proportion,1_Proportion,2_Proportion,3_Proportion,4_Proportion,5_Proportion,6_Proportion,7_Proportion,label
107,0.0,0.037,0.007,0.015,0.897,0.037,0.0,0.0,2
108,0.006,0.0,0.006,0.013,0.897,0.064,0.0,0.006,2
109,0.008,0.0,0.0,0.0,0.959,0.017,0.0,0.008,2
110,0.0,0.008,0.031,0.023,0.853,0.07,0.008,0.0,2
111,0.013,0.006,0.013,0.075,0.875,0.006,0.006,0.0,2
112,0.0,0.008,0.0,0.008,0.944,0.024,0.008,0.0,2
113,0.0,0.0,0.0,0.023,0.959,0.012,0.0,0.0,2
114,0.0,0.0,0.016,0.079,0.897,0.0,0.0,0.0,2
115,0.0,0.0,0.0,0.042,0.941,0.008,0.0,0.0,2
116,0.015,0.0,0.0,0.015,0.955,0.008,0.0,0.0,2
117,0.006,0.0,0.018,0.043,0.896,0.031,0.0,0.0,2
118,0.008,0.008,0.0,0.087,0.866,0.024,0.0,0.0,2
119,0.0,0.0,0.0,0.046,0.899,0.018,0.009,0.018,2
120,0.852,0.028,0.0,0.0,0.056,0.009,0.028,0.019,3
121,0.866,0.025,0.0,0.008,0.0,0.0,0.042,0.05,3
122,0.76,0.058,0.033,0.0,0.008,0.0,0.008,0.124,3
123,0.66,0.17,0.0,0.0,0.014,0.061,0.007,0.082,3
124,0.809,0.015,0.007,0.132,0.022,0.0,0.007,0.0,3
125,0.777,0.042,0.006,0.006,0.006,0.0,0.0,0.157,3
126,0.812,0.018,0.006,0.018,0.012,0.0,0.006,0.121,3
127,0.8,0.042,0.017,0.042,0.025,0.0,0.025,0.042,3
128,0.827,0.038,0.0,0.0,0.008,0.06,0.045,0.015,3
129,0.773,0.008,0.0,0.0,0.0,0.008,0.008,0.195,3
130,0.729,0.019,0.039,0.019,0.006,0.032,0.032,0.116,3
131,0.891,0.016,0.0,0.023,0.008,0.0,0.023,0.031,3
132,0.756,0.024,0.0,0.047,0.102,0.024,0.016,0.024,3
133,0.781,0.047,0.008,0.016,0.039,0.0,0.0,0.102,3
134,0.856,0.038,0.01,0.01,0.019,0.019,0.019,0.019,3
135,0.867,0.03,0.0,0.0,0.0,0.006,0.036,0.054,3
136,0.916,0.018,0.0,0.03,0.006,0.0,0.0,0.024,3
137,0.907,0.0,0.008,0.0,0.0,0.0,0.008,0.07,3
138,0.823,0.038,0.0,0.006,0.013,0.025,0.038,0.051,3
139,0.728,0.068,0.0,0.007,0.061,0.034,0.061,0.034,3
140,0.892,0.014,0.007,0.007,0.0,0.0,0.0,0.072,3
141,0.892,0.092,0.0,0.0,0.0,0.0,0.0,0.008,3
142,0.916,0.05,0.008,0.0,0.008,0.008,0.0,0.0,3
143,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.014,3
144,0.867,0.097,0.0,0.0,0.0,0.0,0.0,0.027,3
145,0.865,0.085,0.043,0.0,0.0,0.0,0.0,0.0,3
146,0.922,0.069,0.0,0.0,0.0,0.0,0.0,0.0,3
147,0.96,0.024,0.0,0.0,0.0,0.0,0.0,0.008,3
148,0.893,0.09,0.008,0.0,0.0,0.0,0.0,0.0,3
149,0.912,0.044,0.019,0.013,0.0,0.0,0.0,0.006,3
150,0.888,0.04,0.056,0.0,0.0,0.0,0.0,0.008,3
151,0.84,0.13,0.023,0.0,0.0,0.0,0.0,0.0,3
152,0.958,0.017,0.017,0.0,0.0,0.0,0.0,0.0,3
153,0.905,0.088,0.0,0.0,0.0,0.0,0.0,0.0,3
154,0.853,0.07,0.031,0.008,0.0,0.0,0.023,0.008,3
155,0.897,0.06,0.009,0.0,0.0,0.0,0.0,0.026,3
156,0.923,0.043,0.0,0.026,0.0,0.0,0.0,0.0,3
157,0.884,0.009,0.0,0.0,0.0,0.0,0.009,0.089,3
158,0.957,0.0,0.026,0.0,0.009,0.0,0.0,0.0,3
159,0.957,0.017,0.009,0.009,0.0,0.0,0.0,0.0,3
160,0.015,0.022,0.209,0.179,0.09,0.172,0.149,0.157,4
161,0.098,0.008,0.09,0.15,0.128,0.143,0.278,0.098,4
162,0.057,0.068,0.222,0.091,0.125,0.131,0.222,0.08,4
163,0.028,0.014,0.153,0.09,0.16,0.139,0.306,0.104,4
164,0.02,0.007,0.141,0.107,0.134,0.107,0.228,0.248,4
165,0.04,0.013,0.113,0.213,0.153,0.18,0.2,0.08,4
166,0.006,0.04,0.213,0.103,0.161,0.149,0.207,0.115,4
167,0.036,0.006,0.186,0.102,0.168,0.15,0.251,0.096,4
168,0.085,0.05,0.156,0.071,0.149,0.135,0.227,0.121,4
169,0.013,0.089,0.12,0.171,0.127,0.12,0.253,0.101,4
170,0.009,0.009,0.124,0.142,0.15,0.159,0.283,0.115,4
171,0.017,0.017,0.172,0.08,0.149,0.144,0.293,0.121,4
172,0.04,0.04,0.113,0.089,0.153,0.169,0.234,0.153,4
173,0.008,0.025,0.18,0.098,0.131,0.172,0.246,0.131,4
174,0.073,0.008,0.138,0.122,0.122,0.146,0.22,0.163,4
175,0.055,0.086,0.203,0.078,0.117,0.141,0.227,0.086,4
